text,sentiment
bad product save money,0
work advertised upset,0
amazing quality great customer service,2
okay nothing special job,1
work expected nothing nothing less,1
mediocre product expected,1
poor design cheap material,0
disappointed quality returning,0
im impressed quality buy,2
broke immediately dont waste time,0
work advertised upset,0
average product could better,1
average quality nothing exceptional,1
disappointed described,0
broke immediately dont waste time,0
broke immediately dont waste time,0
fine supposed,1
fantastic work perfectly arrived quickly,2
acceptable product meet basic expectation,1
disappointed described,0
perfect exactly looking,2
okay nothing special job,1
standard product surprise,1
decent quality price,1
poor quality would recommend,0
alright great terrible,1
horrible experience product arrived damaged,0
horrible experience product arrived damaged,0
okay price point,1
bad product save money,0
exactly needed five star,2
outstanding quality fast shipping highly recommend,2
wonderful product family love,2
work fine nothing complain,1
best product category highly recommended,2
wonderful product family love,2
okay nothing special job,1
perfect exactly looking,2
standard product surprise,1
awful quality complete waste money,0
fine supposed,1
fair quality get job done,1
im impressed quality buy,2
fair quality get job done,1
standard product surprise,1
standard product surprise,1
average product could better,1
okay nothing special job,1
disappointed quality returning,0
expected disappointed,0
broke immediately dont waste time,0
amazing quality great customer service,2
awful quality complete waste money,0
horrible experience product arrived damaged,0
outstanding quality fast shipping highly recommend,2
poor design cheap material,0
okay price point,1
amazing quality great customer service,2
terrible purchase regret buying,0
horrible experience product arrived damaged,0
waste money dont buy,0
neutral opinion could go either way,1
decent quality price,1
excellent product great value money,2
disappointed quality returning,0
best product category highly recommended,2
expected disappointed,0
amazing quality great customer service,2
outstanding quality fast shipping highly recommend,2
absolutely love best purchase ive made year,2
incredible quality price satisfied,2
alright great terrible,1
broke immediately dont waste time,0
poor design cheap material,0
broke immediately dont waste time,0
disappointed described,0
exactly needed five star,2
fantastic work perfectly arrived quickly,2
work advertised upset,0
decent quality price,1
incredible quality price satisfied,2
work expected nothing nothing less,1
work fine nothing complain,1
product amazing exceeded expectation,2
worth cheap quality,0
excellent product great value money,2
okay nothing special job,1
outstanding quality fast shipping highly recommend,2
average product could better,1
fair quality get job done,1
perfect condition fast delivery love,2
excellent product great value money,2
poor quality would recommend,0
disappointed quality returning,0
okay price point,1
wonderful product family love,2
average product could better,1
product amazing exceeded expectation,2
perfect exactly looking,2
perfect exactly looking,2
awful quality complete waste money,0
outstanding quality fast shipping highly recommend,2
adequate basic need,1
