text,sentiment
broke immediately dont waste time,0
terrible purchase regret buying,0
perfect condition fast delivery love,2
acceptable product meet basic expectation,1
work expected nothing nothing less,1
okay nothing special job,1
horrible experience product arrived damaged,0
awful quality complete waste money,0
outstanding quality fast shipping highly recommend,2
waste money dont buy,0
expected disappointed,0
work fine nothing complain,1
standard product surprise,1
terrible stopped working week,0
terrible product broke one use,0
poor design cheap material,0
mediocre product expected,1
perfect condition fast delivery love,2
neutral opinion could go either way,1
worth cheap quality,0
incredible quality price satisfied,2
average quality nothing exceptional,1
mediocre product expected,1
work fine nothing complain,1
horrible experience product arrived damaged,0
fair quality get job done,1
horrible experience product arrived damaged,0
disappointed quality returning,0
fine supposed,1
horrible experience product arrived damaged,0
perfect condition fast delivery love,2
wonderful product family love,2
superior quality couldnt happier purchase,2
standard product surprise,1
perfect condition fast delivery love,2
im impressed quality buy,2
fine supposed,1
incredible quality price satisfied,2
mediocre product expected,1
expected disappointed,0
okay price point,1
fair quality get job done,1
perfect condition fast delivery love,2
standard product surprise,1
okay price point,1
acceptable product meet basic expectation,1
work expected nothing nothing less,1
okay nothing special job,1
expected disappointed,0
terrible stopped working week,0
waste money dont buy,0
superb exceeded expectation,2
bad product save money,0
terrible product broke one use,0
outstanding quality fast shipping highly recommend,2
worth cheap quality,0
okay nothing special job,1
fantastic work perfectly arrived quickly,2
worth cheap quality,0
poor quality would recommend,0
expected disappointed,0
okay price point,1
fair quality get job done,1
excellent product great value money,2
poor design cheap material,0
excellent product great value money,2
work advertised upset,0
superior quality couldnt happier purchase,2
excellent product great value money,2
exactly needed five star,2
fantastic work perfectly arrived quickly,2
fine supposed,1
disappointed quality returning,0
poor quality would recommend,0
poor design cheap material,0
poor quality would recommend,0
fantastic work perfectly arrived quickly,2
incredible quality price satisfied,2
worth cheap quality,0
neutral opinion could go either way,1
superior quality couldnt happier purchase,2
adequate basic need,1
fair quality get job done,1
wonderful product family love,2
terrible purchase regret buying,0
outstanding quality fast shipping highly recommend,2
neutral opinion could go either way,1
superb exceeded expectation,2
acceptable product meet basic expectation,1
fine supposed,1
best product category highly recommended,2
superb exceeded expectation,2
terrible product broke one use,0
disappointed described,0
okay price point,1
incredible quality price satisfied,2
mediocre product expected,1
outstanding quality fast shipping highly recommend,2
amazing quality great customer service,2
exactly needed five star,2
terrible purchase regret buying,0
excellent product great value money,2
neutral opinion could go either way,1
absolutely love best purchase ive made year,2
adequate basic need,1
poor quality would recommend,0
disappointed described,0
alright great terrible,1
average product could better,1
wonderful product family love,2
poor quality would recommend,0
poor quality would recommend,0
horrible experience product arrived damaged,0
expected disappointed,0
superior quality couldnt happier purchase,2
superior quality couldnt happier purchase,2
product amazing exceeded expectation,2
mediocre product expected,1
amazing quality great customer service,2
okay nothing special job,1
exactly needed five star,2
terrible purchase regret buying,0
work fine nothing complain,1
terrible purchase regret buying,0
disappointed described,0
average product could better,1
superior quality couldnt happier purchase,2
mediocre product expected,1
acceptable product meet basic expectation,1
mediocre product expected,1
perfect exactly looking,2
work expected nothing nothing less,1
amazing quality great customer service,2
okay nothing special job,1
acceptable product meet basic expectation,1
poor quality would recommend,0
poor design cheap material,0
im impressed quality buy,2
terrible purchase regret buying,0
work fine nothing complain,1
im impressed quality buy,2
awful quality complete waste money,0
best product category highly recommended,2
adequate basic need,1
best product category highly recommended,2
incredible quality price satisfied,2
disappointed quality returning,0
broke immediately dont waste time,0
work fine nothing complain,1
adequate basic need,1
best product category highly recommended,2
broke immediately dont waste time,0
im impressed quality buy,2
okay nothing special job,1
expected disappointed,0
okay price point,1
disappointed quality returning,0
superior quality couldnt happier purchase,2
exactly needed five star,2
work advertised upset,0
exactly needed five star,2
best product category highly recommended,2
perfect condition fast delivery love,2
horrible experience product arrived damaged,0
alright great terrible,1
average product could better,1
fine supposed,1
awful quality complete waste money,0
neutral opinion could go either way,1
disappointed described,0
work fine nothing complain,1
absolutely love best purchase ive made year,2
superior quality couldnt happier purchase,2
perfect condition fast delivery love,2
fantastic work perfectly arrived quickly,2
excellent product great value money,2
awful quality complete waste money,0
exactly needed five star,2
outstanding quality fast shipping highly recommend,2
neutral opinion could go either way,1
superb exceeded expectation,2
product amazing exceeded expectation,2
awful quality complete waste money,0
mediocre product expected,1
okay price point,1
incredible quality price satisfied,2
mediocre product expected,1
poor quality would recommend,0
neutral opinion could go either way,1
terrible product broke one use,0
outstanding quality fast shipping highly recommend,2
decent quality price,1
expected disappointed,0
awful quality complete waste money,0
product amazing exceeded expectation,2
poor quality would recommend,0
broke immediately dont waste time,0
terrible product broke one use,0
alright great terrible,1
expected disappointed,0
exactly needed five star,2
broke immediately dont waste time,0
acceptable product meet basic expectation,1
incredible quality price satisfied,2
fantastic work perfectly arrived quickly,2
average quality nothing exceptional,1
waste money dont buy,0
average quality nothing exceptional,1
terrible purchase regret buying,0
work expected nothing nothing less,1
best product category highly recommended,2
expected disappointed,0
average product could better,1
poor quality would recommend,0
excellent product great value money,2
alright great terrible,1
terrible stopped working week,0
okay price point,1
fair quality get job done,1
alright great terrible,1
exactly needed five star,2
expected disappointed,0
disappointed described,0
fine supposed,1
superior quality couldnt happier purchase,2
waste money dont buy,0
terrible product broke one use,0
absolutely love best purchase ive made year,2
average product could better,1
decent quality price,1
acceptable product meet basic expectation,1
terrible product broke one use,0
work fine nothing complain,1
mediocre product expected,1
worth cheap quality,0
poor quality would recommend,0
work advertised upset,0
fantastic work perfectly arrived quickly,2
absolutely love best purchase ive made year,2
broke immediately dont waste time,0
average quality nothing exceptional,1
decent quality price,1
work expected nothing nothing less,1
average quality nothing exceptional,1
okay nothing special job,1
expected disappointed,0
amazing quality great customer service,2
work expected nothing nothing less,1
work advertised upset,0
terrible purchase regret buying,0
mediocre product expected,1
exactly needed five star,2
decent quality price,1
okay nothing special job,1
poor quality would recommend,0
terrible purchase regret buying,0
broke immediately dont waste time,0
superb exceeded expectation,2
acceptable product meet basic expectation,1
superb exceeded expectation,2
okay nothing special job,1
amazing quality great customer service,2
disappointed described,0
poor quality would recommend,0
average product could better,1
outstanding quality fast shipping highly recommend,2
product amazing exceeded expectation,2
exactly needed five star,2
neutral opinion could go either way,1
